IP:PORT, LOSS, DELAY
[2606:4700:d0::07b9:149c:abb2:7c1a]:1701,0.00%,259 ms
[2606:4700:d0::d92f:0399:1f14:012c]:878,0.00%,260 ms
[2606:4700:d0::50e7:fcb0:89b2:64d7]:878,0.00%,260 ms
[2606:4700:d1::b1ea:c735:21e8:733d]:1701,0.00%,260 ms
[2606:4700:d1::a430:fd7b:c0b1:e92e]:878,0.00%,260 ms
[2606:4700:d1::1de8:5e59:2abb:3de1]:1701,0.00%,260 ms
[2606:4700:d0::e34f:762f:a8eb:945a]:1701,0.00%,261 ms
[2606:4700:d0::3426:022f:1c37:5e96]:878,0.00%,261 ms
[2606:4700:d1::6514:8f3d:d7c0:a8bd]:878,0.00%,261 ms
[2606:4700:d0::ab2b:f830:0631:6b0b]:1701,0.00%,261 ms
[2606:4700:d1::5f0d:b282:42c0:aeae]:1701,0.00%,261 ms
[2606:4700:d0::cc5e:7e5e:7fe7:e8c6]:878,0.00%,261 ms
[2606:4700:d1::34f8:1a6c:73bc:af02]:878,0.00%,262 ms
[2606:4700:d1::a430:fd7b:c0b1:e92e]:1701,0.00%,262 ms
[2606:4700:d1::202a:979d:9064:bf9d]:1701,0.00%,262 ms
[2606:4700:d1::a5f2:5431:515d:fba2]:1701,0.00%,262 ms
[2606:4700:d1::1398:78c7:d7ac:5ce3]:878,0.00%,262 ms
[2606:4700:d1::5f0d:b282:42c0:aeae]:878,0.00%,262 ms
[2606:4700:d0::9f97:c241:eba6:8f31]:878,0.00%,262 ms
[2606:4700:d1::1423:2e46:2534:f450]:878,0.00%,263 ms
[2606:4700:d1::0fbd:6bfa:3f21:0082]:1701,0.00%,263 ms
[2606:4700:d1::5650:8744:ee7d:83af]:1701,0.00%,263 ms
[2606:4700:d0::86d3:061d:36e1:38c8]:1701,0.00%,263 ms
[2606:4700:d0::6168:4a8a:feb8:2034]:878,0.00%,263 ms
[2606:4700:d1::34f8:1a6c:73bc:af02]:1701,0.00%,263 ms
[2606:4700:d0::9f97:c241:eba6:8f31]:1701,0.00%,264 ms
[2606:4700:d0::0b1f:9a9d:e397:e66f]:1701,0.00%,264 ms
[2606:4700:d0::538e:7f02:e0b7:c177]:1701,0.00%,264 ms
