IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.108.160,443,443,TRUE,CDG,Europe,Paris,176,8.26
34.116.211.3,443,443,TRUE,FRA,Europe,Frankfurt,238,8.28
34.118.21.89,443,443,TRUE,FRA,Europe,Frankfurt,247,8.29
35.204.47.241,443,443,TRUE,FRA,Europe,Frankfurt,174,8.31
34.118.23.146,443,443,TRUE,FRA,Europe,Frankfurt,268,8.32
34.105.189.25,443,443,TRUE,LHR,Europe,London,167,8.34
34.85.150.39,443,443,TRUE,IAD,North America,Ashburn,212,8.34
34.34.32.211,443,443,TRUE,FRA,Europe,Frankfurt,179,8.35
34.118.70.10,443,443,TRUE,FRA,Europe,Frankfurt,205,8.37
34.118.57.100,443,443,TRUE,FRA,Europe,Frankfurt,188,8.39
34.118.108.112,443,443,TRUE,FRA,Europe,Frankfurt,195,8.41
34.91.211.239,443,443,TRUE,FRA,Europe,Frankfurt,164,8.42
34.48.2.26,443,443,TRUE,IAD,North America,Ashburn,211,8.44
34.141.242.242,443,443,TRUE,FRA,Europe,Frankfurt,188,8.45
34.150.180.124,443,443,TRUE,IAD,North America,Ashburn,210,8.46
34.116.137.121,443,443,TRUE,FRA,Europe,Frankfurt,261,8.46
34.116.205.19,443,443,TRUE,FRA,Europe,Frankfurt,265,8.46
34.65.141.172,443,443,TRUE,FRA,Europe,Frankfurt,178,8.46
34.65.226.188,443,443,TRUE,FRA,Europe,Frankfurt,166,8.47
34.116.187.139,443,443,TRUE,FRA,Europe,Frankfurt,238,8.47
34.118.32.216,443,443,TRUE,FRA,Europe,Frankfurt,268,8.48
35.199.38.148,443,443,TRUE,IAD,North America,Ashburn,212,8.48
34.65.84.112,443,443,TRUE,FRA,Europe,Frankfurt,169,8.48
34.116.149.41,443,443,TRUE,FRA,Europe,Frankfurt,245,8.49
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,211,8.5
34.116.241.129,443,443,TRUE,FRA,Europe,Frankfurt,250,8.53
34.116.218.15,443,443,TRUE,FRA,Europe,Frankfurt,279,8.54
34.116.236.156,443,443,TRUE,FRA,Europe,Frankfurt,269,8.54
34.85.199.232,443,443,TRUE,IAD,North America,Ashburn,212,8.55
34.116.206.226,443,443,TRUE,FRA,Europe,Frankfurt,256,8.56
34.116.143.136,443,443,TRUE,FRA,Europe,Frankfurt,260,8.56
34.116.241.33,443,443,TRUE,FRA,Europe,Frankfurt,292,8.57
34.116.174.240,443,443,TRUE,FRA,Europe,Frankfurt,280,8.58
34.90.91.229,443,443,TRUE,FRA,Europe,Frankfurt,165,8.59
34.70.91.86,443,443,TRUE,ORD,North America,Chicago,205,8.63
34.85.150.39,443,443,TRUE,IAD,North America,Ashburn,219,8.63
34.116.141.173,443,443,TRUE,FRA,Europe,Frankfurt,279,8.65
34.116.176.165,443,443,TRUE,FRA,Europe,Frankfurt,284,8.66
34.116.172.58,443,443,TRUE,FRA,Europe,Frankfurt,251,8.67
34.116.186.105,443,443,TRUE,FRA,Europe,Frankfurt,251,8.68
34.116.203.29,443,443,TRUE,FRA,Europe,Frankfurt,209,8.68
34.116.255.53,443,443,TRUE,FRA,Europe,Frankfurt,261,8.69
34.116.222.237,443,443,TRUE,FRA,Europe,Frankfurt,259,8.7
34.116.195.106,443,443,TRUE,FRA,Europe,Frankfurt,234,8.71
34.150.133.11,443,443,TRUE,IAD,North America,Ashburn,211,8.72
34.116.216.92,443,443,TRUE,CDG,Europe,Paris,271,8.73
35.245.143.176,443,443,TRUE,IAD,North America,Ashburn,213,8.74
34.118.21.89,443,443,TRUE,FRA,Europe,Frankfurt,176,8.75
34.116.239.211,443,443,TRUE,FRA,Europe,Frankfurt,288,8.76
34.65.3.75,443,443,TRUE,FRA,Europe,Frankfurt,163,8.77
35.199.37.84,443,443,TRUE,IAD,North America,Ashburn,212,8.77
34.48.2.26,443,443,TRUE,IAD,North America,Ashburn,212,8.78
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,206,8.8
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,209,8.81
34.116.235.243,443,443,TRUE,AMS,Europe,Amsterdam,266,8.81
34.65.59.29,443,443,TRUE,FRA,Europe,Frankfurt,166,8.82
34.118.57.100,443,443,TRUE,FRA,Europe,Frankfurt,178,8.82
34.118.63.12,443,443,TRUE,FRA,Europe,Frankfurt,190,8.82
34.116.159.225,443,443,TRUE,FRA,Europe,Frankfurt,270,8.83
34.65.19.230,443,443,TRUE,FRA,Europe,Frankfurt,170,8.84
34.118.58.201,443,443,TRUE,FRA,Europe,Frankfurt,202,8.85
34.118.75.185,443,443,TRUE,FRA,Europe,Frankfurt,184,8.85
34.118.78.109,443,443,TRUE,FRA,Europe,Frankfurt,188,8.86
34.85.199.232,443,443,TRUE,IAD,North America,Ashburn,211,8.87
34.118.122.213,443,443,TRUE,FRA,Europe,Frankfurt,185,8.87
35.245.172.6,443,443,TRUE,IAD,North America,Ashburn,214,8.87
34.118.7.118,443,443,TRUE,CDG,Europe,Paris,229,8.88
34.116.191.48,443,443,TRUE,FRA,Europe,Frankfurt,224,8.89
35.204.21.103,443,443,TRUE,AMS,Europe,Amsterdam,166,8.9
34.116.174.240,443,443,TRUE,AMS,Europe,Amsterdam,190,8.91
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,207,8.91
34.118.55.40,443,443,TRUE,FRA,Europe,Frankfurt,175,8.91
35.230.169.129,443,443,TRUE,IAD,North America,Ashburn,216,8.92
34.145.145.76,443,443,TRUE,IAD,North America,Ashburn,260,8.92
34.65.169.19,443,443,TRUE,FRA,Europe,Frankfurt,165,8.92
34.85.199.232,443,443,TRUE,IAD,North America,Ashburn,213,8.93
34.65.247.160,443,443,TRUE,FRA,Europe,Frankfurt,198,8.94
34.150.133.11,443,443,TRUE,IAD,North America,Ashburn,212,8.94
34.116.234.141,443,443,TRUE,AMS,Europe,Amsterdam,273,8.95
34.118.68.119,443,443,TRUE,CDG,Europe,Paris,188,8.96
34.65.171.157,443,443,TRUE,FRA,Europe,Frankfurt,187,8.96
35.232.160.115,443,443,TRUE,ORD,North America,Chicago,206,8.97
34.116.132.31,443,443,TRUE,FRA,Europe,Frankfurt,268,8.98
34.118.41.188,443,443,TRUE,FRA,Europe,Frankfurt,188,8.98
34.65.150.148,443,443,TRUE,FRA,Europe,Frankfurt,175,8.98
34.118.69.58,443,443,TRUE,FRA,Europe,Frankfurt,187,8.98
34.85.150.39,443,443,TRUE,IAD,North America,Ashburn,215,8.98
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,206,8.99
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,205,8.99
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,206,9
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,206,9
34.116.159.225,443,443,TRUE,FRA,Europe,Frankfurt,196,9
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,206,9
34.150.180.124,443,443,TRUE,IAD,North America,Ashburn,212,9.01
35.224.40.99,443,443,TRUE,ORD,North America,Chicago,205,9.01
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,205,9.02
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,211,9.02
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,205,9.02
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,207,9.02
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,205,9.03
34.130.195.13,443,443,TRUE,YYZ,North America,Toronto,209,9.03
34.85.150.39,443,443,TRUE,IAD,North America,Ashburn,211,9.03
34.118.2.147,443,443,TRUE,FRA,Europe,Frankfurt,274,9.03
34.116.141.3,443,443,TRUE,FRA,Europe,Frankfurt,189,9.04
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,215,9.05
34.118.108.112,443,443,TRUE,FRA,Europe,Frankfurt,187,9.05
34.118.114.167,443,443,TRUE,FRA,Europe,Frankfurt,193,9.06
34.91.211.239,443,443,TRUE,FRA,Europe,Frankfurt,172,9.07
34.116.157.223,443,443,TRUE,FRA,Europe,Frankfurt,191,9.07
34.118.106.179,443,443,TRUE,CDG,Europe,Paris,185,9.08
34.118.23.146,443,443,TRUE,FRA,Europe,Frankfurt,185,9.1
34.118.71.245,443,443,TRUE,FRA,Europe,Frankfurt,184,9.13
34.116.159.183,443,443,TRUE,FRA,Europe,Frankfurt,185,9.16
34.65.78.7,443,443,TRUE,FRA,Europe,Frankfurt,173,9.16
34.118.87.93,443,443,TRUE,FRA,Europe,Frankfurt,184,9.17
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,186,9.18
34.116.203.240,443,443,TRUE,FRA,Europe,Frankfurt,187,9.18
34.116.193.122,443,443,TRUE,FRA,Europe,Frankfurt,280,9.2
34.118.71.179,443,443,TRUE,FRA,Europe,Frankfurt,191,9.2
34.116.193.122,443,443,TRUE,FRA,Europe,Frankfurt,191,9.2
34.118.103.187,443,443,TRUE,CDG,Europe,Paris,191,9.21
34.116.132.141,443,443,TRUE,FRA,Europe,Frankfurt,174,9.21
34.118.38.73,443,443,TRUE,FRA,Europe,Frankfurt,176,9.21
34.116.148.227,443,443,TRUE,FRA,Europe,Frankfurt,193,9.22
34.116.181.51,443,443,TRUE,FRA,Europe,Frankfurt,240,9.22
34.116.176.52,443,443,TRUE,FRA,Europe,Frankfurt,318,9.22
34.118.17.193,443,443,TRUE,FRA,Europe,Frankfurt,189,9.22
34.118.76.188,443,443,TRUE,FRA,Europe,Frankfurt,188,9.23
34.116.219.69,443,443,TRUE,FRA,Europe,Frankfurt,185,9.23
34.118.71.179,443,443,TRUE,FRA,Europe,Frankfurt,194,9.24
34.116.189.247,443,443,TRUE,CDG,Europe,Paris,258,9.24
34.118.17.244,443,443,TRUE,FRA,Europe,Frankfurt,281,9.25
34.118.50.15,443,443,TRUE,FRA,Europe,Frankfurt,188,9.25
34.116.157.246,443,443,TRUE,FRA,Europe,Frankfurt,187,9.26
34.116.149.184,443,443,TRUE,FRA,Europe,Frankfurt,174,9.26
34.118.97.186,443,443,TRUE,FRA,Europe,Frankfurt,195,9.26
34.65.18.138,443,443,TRUE,FRA,Europe,Frankfurt,176,9.27
34.118.7.118,443,443,TRUE,FRA,Europe,Frankfurt,187,9.28
34.118.58.146,443,443,TRUE,FRA,Europe,Frankfurt,190,9.28
34.65.148.240,443,443,TRUE,FRA,Europe,Frankfurt,178,9.28
34.116.137.121,443,443,TRUE,FRA,Europe,Frankfurt,185,9.29
34.118.80.175,443,443,TRUE,FRA,Europe,Frankfurt,185,9.29
34.116.244.240,443,443,TRUE,FRA,Europe,Frankfurt,275,9.29
34.65.105.132,443,443,TRUE,CDG,Europe,Paris,172,9.29
34.65.10.109,443,443,TRUE,FRA,Europe,Frankfurt,196,9.3
34.116.235.243,443,443,TRUE,FRA,Europe,Frankfurt,184,9.3
34.65.205.182,443,443,TRUE,FRA,Europe,Frankfurt,173,9.31
34.118.17.152,443,443,TRUE,FRA,Europe,Frankfurt,251,9.31
34.65.7.222,443,443,TRUE,FRA,Europe,Frankfurt,178,9.31
34.116.137.3,443,443,TRUE,FRA,Europe,Frankfurt,212,9.32
34.118.0.245,443,443,TRUE,CDG,Europe,Paris,178,9.32
34.118.91.9,443,443,TRUE,FRA,Europe,Frankfurt,201,9.33
34.118.41.105,443,443,TRUE,FRA,Europe,Frankfurt,189,9.33
34.65.204.88,443,443,TRUE,FRA,Europe,Frankfurt,179,9.33
34.65.151.47,443,443,TRUE,FRA,Europe,Frankfurt,174,9.33
34.116.207.140,443,443,TRUE,CDG,Europe,Paris,191,9.33
34.118.80.175,443,443,TRUE,FRA,Europe,Frankfurt,184,9.34
34.118.17.244,443,443,TRUE,FRA,Europe,Frankfurt,189,9.34
34.116.176.52,443,443,TRUE,CDG,Europe,Paris,190,9.35
34.116.179.241,443,443,TRUE,FRA,Europe,Frankfurt,188,9.36
34.65.226.188,443,443,TRUE,FRA,Europe,Frankfurt,173,9.36
34.116.149.41,443,443,TRUE,FRA,Europe,Frankfurt,184,9.37
34.118.41.188,443,443,TRUE,FRA,Europe,Frankfurt,189,9.37
34.116.161.128,443,443,TRUE,FRA,Europe,Frankfurt,270,9.38
34.116.161.128,443,443,TRUE,FRA,Europe,Frankfurt,191,9.38
34.118.31.28,443,443,TRUE,FRA,Europe,Frankfurt,189,9.39
34.118.31.28,443,443,TRUE,FRA,Europe,Frankfurt,248,9.4
34.65.110.108,443,443,TRUE,FRA,Europe,Frankfurt,177,9.4
34.65.114.157,443,443,TRUE,AMS,Europe,Amsterdam,173,9.42
34.65.170.192,443,443,TRUE,FRA,Europe,Frankfurt,179,9.43
34.65.128.143,443,443,TRUE,FRA,Europe,Frankfurt,180,9.43
34.118.10.49,443,443,TRUE,FRA,Europe,Frankfurt,197,9.43
34.65.197.71,443,443,TRUE,FRA,Europe,Frankfurt,166,9.44
34.116.206.226,443,443,TRUE,FRA,Europe,Frankfurt,188,9.44
34.116.203.117,443,443,TRUE,FRA,Europe,Frankfurt,264,9.44
34.116.203.33,443,443,TRUE,FRA,Europe,Frankfurt,187,9.45
34.116.141.173,443,443,TRUE,AMS,Europe,Amsterdam,191,9.45
34.65.140.253,443,443,TRUE,FRA,Europe,Frankfurt,166,9.46
34.116.132.141,443,443,TRUE,FRA,Europe,Frankfurt,298,9.46
34.65.58.3,443,443,TRUE,FRA,Europe,Frankfurt,182,9.46
34.90.91.229,443,443,TRUE,FRA,Europe,Frankfurt,164,9.46
34.65.113.124,443,443,TRUE,FRA,Europe,Frankfurt,171,9.47
34.116.179.88,443,443,TRUE,FRA,Europe,Frankfurt,187,9.47
34.118.41.105,443,443,TRUE,FRA,Europe,Frankfurt,188,9.47
34.65.196.170,443,443,TRUE,FRA,Europe,Frankfurt,172,9.47
34.116.222.237,443,443,TRUE,FRA,Europe,Frankfurt,186,9.47
34.118.26.169,443,443,TRUE,FRA,Europe,Frankfurt,186,9.48
34.65.53.29,443,443,TRUE,FRA,Europe,Frankfurt,174,9.48
34.65.175.149,443,443,TRUE,CDG,Europe,Paris,188,9.49
34.65.151.47,443,443,TRUE,FRA,Europe,Frankfurt,199,9.5
34.65.75.131,443,443,TRUE,FRA,Europe,Frankfurt,179,9.52
34.65.171.172,443,443,TRUE,FRA,Europe,Frankfurt,180,9.52
34.65.188.48,443,443,TRUE,FRA,Europe,Frankfurt,179,9.52
34.65.114.157,443,443,TRUE,FRA,Europe,Frankfurt,176,9.53
34.65.207.85,443,443,TRUE,FRA,Europe,Frankfurt,191,9.55
34.65.59.28,443,443,TRUE,FRA,Europe,Frankfurt,179,9.55
34.65.51.235,443,443,TRUE,FRA,Europe,Frankfurt,175,9.55
34.65.77.172,443,443,TRUE,FRA,Europe,Frankfurt,211,9.55
34.65.108.239,443,443,TRUE,FRA,Europe,Frankfurt,177,9.56
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,185,9.56
34.65.81.63,443,443,TRUE,FRA,Europe,Frankfurt,175,9.56
34.65.13.192,443,443,TRUE,FRA,Europe,Frankfurt,177,9.56
34.116.189.247,443,443,TRUE,CDG,Europe,Paris,186,9.57
34.65.78.7,443,443,TRUE,FRA,Europe,Frankfurt,176,9.57
34.118.40.155,443,443,TRUE,FRA,Europe,Frankfurt,213,9.57
34.65.177.1,443,443,TRUE,FRA,Europe,Frankfurt,182,9.58
34.118.17.152,443,443,TRUE,FRA,Europe,Frankfurt,189,9.59
34.65.206.32,443,443,TRUE,FRA,Europe,Frankfurt,176,9.59
34.65.94.94,443,443,TRUE,FRA,Europe,Frankfurt,165,9.59
34.65.215.201,443,443,TRUE,FRA,Europe,Frankfurt,163,9.59
34.116.218.15,443,443,TRUE,CDG,Europe,Paris,191,9.6
34.118.25.155,443,443,TRUE,FRA,Europe,Frankfurt,186,9.6
34.65.148.104,443,443,TRUE,FRA,Europe,Frankfurt,173,9.6
34.118.44.17,443,443,TRUE,FRA,Europe,Frankfurt,186,9.61
34.65.174.106,443,443,TRUE,FRA,Europe,Frankfurt,171,9.61
34.65.81.63,443,443,TRUE,FRA,Europe,Frankfurt,186,9.62
34.154.168.164,443,443,TRUE,FRA,Europe,Frankfurt,164,9.62
35.204.15.252,443,443,TRUE,FRA,Europe,Frankfurt,169,9.63
34.65.207.85,443,443,TRUE,FRA,Europe,Frankfurt,176,9.63
34.65.86.254,443,443,TRUE,FRA,Europe,Frankfurt,179,9.64
34.118.69.58,443,443,TRUE,FRA,Europe,Frankfurt,189,9.64
34.65.205.182,443,443,TRUE,FRA,Europe,Frankfurt,174,9.64
34.118.11.220,443,443,TRUE,FRA,Europe,Frankfurt,198,9.66
34.159.174.25,443,443,TRUE,CDG,Europe,Paris,169,9.66
34.116.244.240,443,443,TRUE,FRA,Europe,Frankfurt,188,9.66
34.65.224.8,443,443,TRUE,FRA,Europe,Frankfurt,178,9.66
34.118.78.109,443,443,TRUE,FRA,Europe,Frankfurt,186,9.66
34.91.211.239,443,443,TRUE,FRA,Europe,Frankfurt,166,9.67
34.65.19.230,443,443,TRUE,FRA,Europe,Frankfurt,163,9.67
34.65.125.44,443,443,TRUE,FRA,Europe,Frankfurt,173,9.67
34.116.195.106,443,443,TRUE,CDG,Europe,Paris,190,9.67
34.91.211.239,443,443,TRUE,FRA,Europe,Frankfurt,161,9.67
34.116.203.238,443,443,TRUE,FRA,Europe,Frankfurt,189,9.68
34.116.255.222,443,443,TRUE,FRA,Europe,Frankfurt,183,9.68
34.118.67.168,443,443,TRUE,FRA,Europe,Frankfurt,188,9.69
34.116.205.19,443,443,TRUE,FRA,Europe,Frankfurt,185,9.69
34.65.69.117,443,443,TRUE,FRA,Europe,Frankfurt,178,9.69
34.65.202.78,443,443,TRUE,FRA,Europe,Frankfurt,173,9.69
34.118.2.147,443,443,TRUE,FRA,Europe,Frankfurt,189,9.69
34.65.79.91,443,443,TRUE,FRA,Europe,Frankfurt,176,9.7
34.65.202.78,443,443,TRUE,FRA,Europe,Frankfurt,174,9.71
34.116.186.105,443,443,TRUE,FRA,Europe,Frankfurt,184,9.71
34.118.32.216,443,443,TRUE,FRA,Europe,Frankfurt,186,9.72
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,188,9.72
34.116.241.129,443,443,TRUE,FRA,Europe,Frankfurt,186,9.72
34.65.113.124,443,443,TRUE,FRA,Europe,Frankfurt,184,9.72
34.118.68.119,443,443,TRUE,FRA,Europe,Frankfurt,188,9.72
34.65.77.172,443,443,TRUE,FRA,Europe,Frankfurt,175,9.72
34.118.71.245,443,443,TRUE,FRA,Europe,Frankfurt,191,9.73
34.65.202.52,443,443,TRUE,FRA,Europe,Frankfurt,176,9.73
34.118.121.61,443,443,TRUE,FRA,Europe,Frankfurt,194,9.73
34.65.37.14,443,443,TRUE,FRA,Europe,Frankfurt,172,9.74
34.65.10.138,443,443,TRUE,FRA,Europe,Frankfurt,176,9.75
34.116.234.141,443,443,TRUE,AMS,Europe,Amsterdam,190,9.75
34.65.125.44,443,443,TRUE,FRA,Europe,Frankfurt,175,9.75
34.116.197.210,443,443,TRUE,FRA,Europe,Frankfurt,185,9.76
34.65.59.28,443,443,TRUE,FRA,Europe,Frankfurt,177,9.76
34.65.157.21,443,443,TRUE,FRA,Europe,Frankfurt,175,9.76
34.65.10.225,443,443,TRUE,AMS,Europe,Amsterdam,173,9.77
34.116.203.117,443,443,TRUE,FRA,Europe,Frankfurt,192,9.77
34.118.99.110,443,443,TRUE,FRA,Europe,Frankfurt,218,9.77
34.116.181.51,443,443,TRUE,FRA,Europe,Frankfurt,175,9.77
34.65.115.57,443,443,TRUE,CDG,Europe,Paris,174,9.79
34.90.91.229,443,443,TRUE,CDG,Europe,Paris,178,9.8
34.65.13.192,443,443,TRUE,FRA,Europe,Frankfurt,173,9.8
34.118.51.3,443,443,TRUE,FRA,Europe,Frankfurt,187,9.82
34.118.77.217,443,443,TRUE,FRA,Europe,Frankfurt,186,9.83
34.118.40.101,443,443,TRUE,FRA,Europe,Frankfurt,185,9.84
34.65.171.172,443,443,TRUE,FRA,Europe,Frankfurt,174,9.84
34.90.82.23,443,443,TRUE,FRA,Europe,Frankfurt,317,9.87
34.118.50.15,443,443,TRUE,FRA,Europe,Frankfurt,192,9.88
34.118.97.186,443,443,TRUE,FRA,Europe,Frankfurt,186,9.88
34.116.214.3,443,443,TRUE,FRA,Europe,Frankfurt,186,9.9
34.118.25.155,443,443,TRUE,FRA,Europe,Frankfurt,271,9.9
34.118.82.162,443,443,TRUE,FRA,Europe,Frankfurt,190,9.91
34.116.197.210,443,443,TRUE,FRA,Europe,Frankfurt,239,9.91
34.65.157.21,443,443,TRUE,FRA,Europe,Frankfurt,190,9.92
34.65.193.203,443,443,TRUE,FRA,Europe,Frankfurt,179,9.92
34.118.82.161,443,443,TRUE,FRA,Europe,Frankfurt,189,9.92
34.116.239.211,443,443,TRUE,FRA,Europe,Frankfurt,184,9.92
34.116.178.157,443,443,TRUE,FRA,Europe,Frankfurt,180,9.92
34.65.247.160,443,443,TRUE,FRA,Europe,Frankfurt,211,9.92
34.91.241.171,443,443,TRUE,FRA,Europe,Frankfurt,162,9.95
34.118.3.141,443,443,TRUE,FRA,Europe,Frankfurt,184,9.96
34.65.205.103,443,443,TRUE,FRA,Europe,Frankfurt,185,9.97
34.90.91.229,443,443,TRUE,AMS,Europe,Amsterdam,174,10
34.116.255.53,443,443,TRUE,FRA,Europe,Frankfurt,191,10.01
34.65.108.239,443,443,TRUE,FRA,Europe,Frankfurt,183,10.01
34.118.87.93,443,443,TRUE,FRA,Europe,Frankfurt,185,10.01
34.118.76.188,443,443,TRUE,FRA,Europe,Frankfurt,185,10.01
34.65.78.31,443,443,TRUE,FRA,Europe,Frankfurt,166,10.01
34.118.103.187,443,443,TRUE,FRA,Europe,Frankfurt,219,10.02
34.118.44.17,443,443,TRUE,FRA,Europe,Frankfurt,187,10.03
34.118.58.146,443,443,TRUE,FRA,Europe,Frankfurt,186,10.04
34.65.215.201,443,443,TRUE,FRA,Europe,Frankfurt,177,10.04
34.116.241.33,443,443,TRUE,FRA,Europe,Frankfurt,189,10.05
34.65.84.112,443,443,TRUE,FRA,Europe,Frankfurt,185,10.05
34.65.19.61,443,443,TRUE,FRA,Europe,Frankfurt,189,10.05
35.204.198.59,443,443,TRUE,FRA,Europe,Frankfurt,180,10.06
34.118.75.185,443,443,TRUE,FRA,Europe,Frankfurt,188,10.08
34.116.143.136,443,443,TRUE,FRA,Europe,Frankfurt,173,10.08
34.118.121.61,443,443,TRUE,FRA,Europe,Frankfurt,187,10.08
34.118.7.157,443,443,TRUE,FRA,Europe,Frankfurt,188,10.09
34.118.106.179,443,443,TRUE,FRA,Europe,Frankfurt,186,10.09
34.118.70.10,443,443,TRUE,FRA,Europe,Frankfurt,201,10.1
34.116.207.140,443,443,TRUE,FRA,Europe,Frankfurt,239,10.1
34.118.99.110,443,443,TRUE,FRA,Europe,Frankfurt,197,10.1
34.65.174.106,443,443,TRUE,FRA,Europe,Frankfurt,177,10.1
34.89.212.37,443,443,TRUE,FRA,Europe,Frankfurt,154,10.11
35.204.216.23,443,443,TRUE,FRA,Europe,Frankfurt,181,10.11
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,189,10.12
34.65.140.253,443,443,TRUE,FRA,Europe,Frankfurt,164,10.12
35.204.30.229,443,443,TRUE,FRA,Europe,Frankfurt,176,10.13
34.116.216.92,443,443,TRUE,AMS,Europe,Amsterdam,183,10.13
34.154.252.14,443,443,TRUE,FRA,Europe,Frankfurt,195,10.14
34.116.179.105,443,443,TRUE,FRA,Europe,Frankfurt,186,10.14
34.154.125.224,443,443,TRUE,FRA,Europe,Frankfurt,162,10.14
34.65.68.162,443,443,TRUE,FRA,Europe,Frankfurt,167,10.14
34.65.94.94,443,443,TRUE,FRA,Europe,Frankfurt,175,10.15
34.118.82.161,443,443,TRUE,FRA,Europe,Frankfurt,189,10.15
34.118.92.155,443,443,TRUE,FRA,Europe,Frankfurt,186,10.15
34.65.181.153,443,443,TRUE,AMS,Europe,Amsterdam,165,10.15
34.116.137.3,443,443,TRUE,FRA,Europe,Frankfurt,283,10.16
34.65.222.230,443,443,TRUE,FRA,Europe,Frankfurt,166,10.17
34.118.114.167,443,443,TRUE,FRA,Europe,Frankfurt,193,10.17
34.89.212.37,443,443,TRUE,FRA,Europe,Frankfurt,158,10.17
34.34.34.56,443,443,TRUE,FRA,Europe,Frankfurt,183,10.18
34.116.149.184,443,443,TRUE,FRA,Europe,Frankfurt,303,10.18
34.154.67.246,443,443,TRUE,FRA,Europe,Frankfurt,184,10.19
34.154.102.110,443,443,TRUE,FRA,Europe,Frankfurt,186,10.21
34.65.68.162,443,443,TRUE,FRA,Europe,Frankfurt,185,10.21
34.118.92.155,443,443,TRUE,FRA,Europe,Frankfurt,189,10.21
34.118.67.168,443,443,TRUE,FRA,Europe,Frankfurt,186,10.22
34.65.78.31,443,443,TRUE,FRA,Europe,Frankfurt,164,10.22
34.116.172.58,443,443,TRUE,FRA,Europe,Frankfurt,191,10.24
34.90.14.162,443,443,TRUE,CDG,Europe,Paris,171,10.24
34.65.84.112,443,443,TRUE,FRA,Europe,Frankfurt,162,10.24
34.116.169.139,443,443,TRUE,FRA,Europe,Frankfurt,188,10.25
34.116.152.33,443,443,TRUE,FRA,Europe,Frankfurt,184,10.26
34.116.154.245,443,443,TRUE,FRA,Europe,Frankfurt,280,10.27
