IP:PORT, LOSS, DELAY
162.159.192.215:8854,0.00%,259 ms
162.159.192.197:3581,0.00%,259 ms
162.159.192.121:988,0.00%,259 ms
162.159.195.65:5279,0.00%,259 ms
162.159.192.138:1002,0.00%,259 ms
188.114.97.169:8319,0.00%,259 ms
188.114.99.253:5956,0.00%,259 ms
188.114.98.201:3476,0.00%,259 ms
162.159.192.106:8742,0.00%,259 ms
162.159.192.242:946,0.00%,259 ms
188.114.99.209:1002,0.00%,259 ms
188.114.97.166:8319,0.00%,259 ms
188.114.99.155:3476,0.00%,259 ms
188.114.98.66:859,0.00%,259 ms
188.114.96.124:3476,0.00%,259 ms
162.159.195.94:1002,0.00%,260 ms
188.114.98.214:890,0.00%,260 ms
188.114.99.227:880,0.00%,260 ms
162.159.195.110:943,0.00%,260 ms
188.114.99.226:880,0.00%,260 ms
188.114.99.247:7559,0.00%,260 ms
188.114.96.143:987,0.00%,260 ms
188.114.98.48:1010,0.00%,260 ms
162.159.192.59:1074,0.00%,260 ms
188.114.96.170:3138,0.00%,260 ms
162.159.192.181:1180,0.00%,260 ms
162.159.193.4:500,0.00%,260 ms
162.159.192.202:500,0.00%,260 ms
188.114.97.7:934,0.00%,260 ms
188.114.99.155:939,0.00%,260 ms
162.159.195.18:500,0.00%,260 ms
162.159.193.2:500,0.00%,260 ms
188.114.98.1:987,0.00%,260 ms
188.114.96.215:8854,0.00%,260 ms
162.159.195.80:7103,0.00%,260 ms
162.159.192.196:3581,0.00%,260 ms
162.159.195.241:955,0.00%,260 ms
188.114.98.219:3476,0.00%,260 ms
188.114.98.196:1014,0.00%,260 ms
162.159.195.80:878,0.00%,260 ms
162.159.192.69:4177,0.00%,260 ms
188.114.99.184:7156,0.00%,260 ms
188.114.99.105:7559,0.00%,260 ms
188.114.97.32:864,0.00%,260 ms
188.114.98.56:3581,0.00%,260 ms
188.114.97.183:2371,0.00%,261 ms
162.159.192.254:500,0.00%,261 ms
188.114.98.27:7559,0.00%,261 ms
188.114.96.114:3476,0.00%,261 ms
188.114.98.27:955,0.00%,261 ms
162.159.195.152:8319,0.00%,261 ms
162.159.195.73:1387,0.00%,261 ms
188.114.97.156:8319,0.00%,261 ms
188.114.98.0:987,0.00%,261 ms
188.114.96.220:8854,0.00%,261 ms
188.114.99.202:1701,0.00%,261 ms
188.114.96.161:1014,0.00%,261 ms
188.114.96.150:987,0.00%,261 ms
188.114.96.160:945,0.00%,261 ms
188.114.98.60:859,0.00%,261 ms
162.159.195.236:1387,0.00%,261 ms
162.159.192.245:946,0.00%,261 ms
188.114.99.29:942,0.00%,262 ms
188.114.98.2:987,0.00%,262 ms
188.114.96.92:1701,0.00%,262 ms
188.114.98.40:7152,0.00%,262 ms
188.114.96.28:8319,0.00%,262 ms
162.159.193.6:500,0.00%,262 ms
162.159.192.223:5956,0.00%,262 ms
162.159.192.129:5279,0.00%,262 ms
188.114.96.48:7156,0.00%,262 ms
188.114.96.99:1701,0.00%,262 ms
188.114.98.165:8319,0.00%,262 ms
188.114.96.150:1070,0.00%,262 ms
188.114.96.160:1014,0.00%,262 ms
188.114.99.86:4198,0.00%,262 ms
188.114.99.188:7156,0.00%,262 ms
188.114.99.193:1701,0.00%,262 ms
188.114.97.19:1014,0.00%,262 ms
188.114.97.168:8319,0.00%,262 ms
188.114.97.242:987,0.00%,262 ms
188.114.98.0:934,0.00%,262 ms
188.114.99.33:3138,0.00%,262 ms
188.114.96.87:1701,0.00%,262 ms
188.114.98.177:1018,0.00%,262 ms
188.114.99.34:942,0.00%,262 ms
188.114.98.243:890,0.00%,262 ms
162.159.195.221:945,0.00%,263 ms
188.114.96.137:1010,0.00%,263 ms
188.114.98.29:955,0.00%,263 ms
188.114.98.66:3581,0.00%,263 ms
188.114.97.218:955,0.00%,263 ms
188.114.97.122:903,0.00%,263 ms
162.159.192.129:3581,0.00%,263 ms
